name,platform,release_date,metascore,user_score,developer,publisher,genre
Mafia: The Old Country,Xbox Series X,2025-08-08,73.0,7.7,Hangar 13,2K Games,Linear Action Adventure
Mafia: The Old Country,PC,2025-08-08,74.0,7.8,Hangar 13,2K Games,Linear Action Adventure
Ruffy and the Riverside,PlayStation 5,2025-06-26,74.0,6.8,Zockrates Laboratories,"Phiphen Games|Limited Run Games|H2 Interactive Co., Ltd.",Open-World Action
Shantae Advance: Risky Revolution,Game Boy Advance,2025-08-19,74.0,7.1,WayForward,WayForward|Limited Run Games,2D Platformer
Age of Darkness: Final Stand,PC,2025-01-15,74.0,6.9,PlaySide Studios,PlaySide Studios,Real-Time Strategy
The Sims 4: Enchanted by Nature,PC,2025-07-10,74.0,1.6,Maxis,Electronic Arts,Virtual Life
Lost Records: Bloom & Rage,Xbox Series X,2025-02-18,81.0,6.4,DONTNOD Entertainment,DONTNOD Entertainment|Maximum Entertainment,Third-Person Adventure
Lost Records: Bloom & Rage,PlayStation 5,2025-02-18,74.0,6.7,DONTNOD Entertainment,DONTNOD Entertainment|Maximum Entertainment,Third-Person Adventure
Lost Records: Bloom & Rage,PC,2025-02-18,73.0,7.3,DONTNOD Entertainment,DONTNOD Entertainment|Maximum Entertainment,Third-Person Adventure
Artis Impact,PC,2025-08-07,74.0,6.1,MAS,MAS,JRPG
Atomfall,PC,2025-03-27,72.0,6.3,Rebellion,Rebellion|Fireshine Games|Game Source Entertainment,Open-World Action
Atomfall,Xbox Series X,2025-03-27,73.0,6.9,Rebellion,Rebellion|Fireshine Games|Game Source Entertainment,Open-World Action
Atomfall,PlayStation 5,2025-03-27,74.0,6.6,Rebellion,Rebellion|Fireshine Games|Game Source Entertainment,Open-World Action
Marvel Rivals,PC,2024-12-06,74.0,7.0,NetEase Games,NetEase Games,Tactical Third Person Shooter
Marvel Rivals,PlayStation 5,2024-12-06,78.0,6.2,NetEase Games,NetEase Games,Tactical Third Person Shooter
Marvel Rivals,Xbox Series X,2024-12-06,75.0,7.5,NetEase Games,NetEase Games,Tactical Third Person Shooter
The Stone of Madness,PC,2025-01-28,73.0,7.0,The Game Kitchen,Tripwire Presents|Tripwire Interactive,Real-Time Tactics
S.T.A.L.K.E.R. 2: Heart of Chornobyl,PC,2024-11-20,73.0,7.6,GSC Game World,GSC Game World,FPS
S.T.A.L.K.E.R. 2: Heart of Chornobyl,Xbox Series X,2024-11-20,73.0,7.4,GSC Game World,GSC Game World,FPS
On Your Tail,PC,2024-12-16,73.0,5.4,Memorable Games,Humble Games,Third-Person Adventure
Metal Eden,PC,2025-09-02,72.0,7.6,Reikon Games,Deep Silver,FPS
Metal Eden,PlayStation 5,2025-09-02,73.0,8.1,Reikon Games,Deep Silver,FPS
Teenage Mutant Ninja Turtles: Tactical Takedown,PC,2025-05-22,73.0,4.3,Strange Scaffold,Strange Scaffold,Turn-Based Tactics
Towa and the Guardians of the Sacred Tree,PlayStation 5,2025-09-19,73.0,9.3,Brownies,Bandai Namco Games,Action RPG
Fretless - The Wrath of Riffson,PC,2025-07-17,73.0,6.2,Ritual Studios,Playdigious,JRPG
Puyo Puyo Tetris 2S,Nintendo Switch 2,2025-06-05,73.0,6.0,Sega,Sega,Matching Puzzle
Freedom Wars Remastered,PlayStation 5,2025-01-10,73.0,6.0,Dimps Corporation,Bandai Namco Games,Action RPG
to a T,PC,2025-05-28,73.0,5.1,uvula,Annapurna Interactive,Third-Person Adventure
Kingdom Come: Deliverance II - Brushes with Death,PC,2025-05-15,72.0,6.1,Warhorse Studios,Deep Silver,Action RPG
Commandos: Origins,PC,2025-04-09,72.0,6.8,Claymore Game Studios,Kalypso,Real-Time Tactics
Everybody's Golf Hot Shots,PlayStation 5,2025-09-05,72.0,7.0,Hyde,Bandai Namco Games,Golf
MySims: Cozy Bundle,Nintendo Switch,2024-11-19,72.0,7.4,Maxis,Electronic Arts,Compilation
Bleach Rebirth of Souls,PlayStation 5,2025-03-21,72.0,8.1,Tamsoft,Bandai Namco Games,3D Fighting
Bleach Rebirth of Souls,Xbox Series X,2025-03-21,69.0,8.7,Tamsoft,Bandai Namco Games,3D Fighting
Bleach Rebirth of Souls,PC,2025-03-21,76.0,8.7,Tamsoft,Bandai Namco Games,3D Fighting
Persona 5: The Phantom X,iOS (iPhone/iPad),2025-06-25,71.0,6.9,Atlus,Sega|Atlus,JRPG
Persona 5: The Phantom X,PC,2025-06-25,72.0,6.5,Atlus,Sega|Atlus,JRPG
RoboCop: Rogue City - Unfinished Business,PlayStation 5,2025-07-17,71.0,7.4,Teyon,Nacon|3goo,FPS
RoboCop: Rogue City - Unfinished Business,PC,2025-07-17,74.0,8.0,Teyon,Nacon|3goo,FPS
Wildgate,PlayStation 5,2025-07-22,78.0,8.8,Moonshot Games,Dreamhaven,Tactical FPS
Wildgate,PC,2025-07-22,71.0,7.1,Moonshot Games,Dreamhaven,Tactical FPS
Wheel World,PC,2025-07-23,71.0,5.9,Messhof,Annapurna Interactive,Open-World Action
Labyrinth Of The Demon King,PlayStation 5,2025-05-13,71.0,8.2,J.R. Hudepohl,Top Hat Studios Inc,Survival
Assassin's Creed Shadows: Claws of Awaji,PC,2025-09-16,71.0,4.8,Ubisoft Bordeaux,Ubisoft,Open-World Action
Assassin's Creed Shadows: Claws of Awaji,PlayStation 5,2025-09-16,70.0,7.2,Ubisoft Bordeaux,Ubisoft,Open-World Action
The Knightling,PlayStation 5,2025-08-28,71.0,8.9,Twirlbound,Saber Interactive,Open-World Action
The Knightling,PC,2025-08-28,80.0,9.8,Twirlbound,Saber Interactive,Open-World Action
Indiana Jones and the Great Circle: The Order of Giants,PlayStation 5,2025-09-04,74.0,7.5,MachineGames,Bethesda Softworks,Action Adventure
Indiana Jones and the Great Circle: The Order of Giants,PC,2025-09-04,71.0,6.7,MachineGames,Bethesda Softworks,Action Adventure
Indiana Jones and the Great Circle: The Order of Giants,Xbox Series X,2025-09-04,72.0,7.6,MachineGames,Bethesda Softworks,Action Adventure
Blades of Fire,PC,2025-05-22,72.0,7.7,Mercury Steam,505 Games,Action RPG
Blades of Fire,PlayStation 5,2025-05-22,71.0,8.0,Mercury Steam,505 Games,Action RPG
Blades of Fire,Xbox Series X,2025-05-22,73.0,8.8,Mercury Steam,505 Games,Action RPG
Monster Energy Supercross 25 - The Official Video Game,PlayStation 5,2025-04-10,71.0,7.6,Milestone S.r.l,Milestone S.r.l,Racing Sim
LEGO Horizon Adventures,PlayStation 5,2024-11-14,70.0,5.9,Studio Gobo,Sony Interactive Entertainment,Action Adventure
LEGO Horizon Adventures,Nintendo Switch,2024-11-14,64.0,6.0,Studio Gobo,Sony Interactive Entertainment,Action Adventure
LEGO Horizon Adventures,PC,2024-11-14,66.0,4.0,Studio Gobo,Sony Interactive Entertainment,Action Adventure
Alien: Rogue Incursion Evolved Edition,PlayStation 5,2025-09-30,70.0,5.4,Survios,Survios,Survival
Tomb Raider IV-VI Remastered,PlayStation 5,2025-02-14,65.0,9.4,Aspyr,Aspyr,Compilation
Tomb Raider IV-VI Remastered,Xbox Series X,2025-02-14,62.0,8.0,Aspyr,Aspyr,Compilation
Tomb Raider IV-VI Remastered,PC,2025-02-14,70.0,8.0,Aspyr,Aspyr,Compilation
