name,platform,release_date,metascore,user_score,developer,publisher,genre
Fairy Tail 2,PlayStation 5,2024-12-13,68.0,7.1,Gust,Koei Tecmo Games,RPG
The Thing: Remastered,PC,2024-12-05,67.0,7.1,Nightdive Studios,Nightdive Studios,Survival
Formula Legends,Xbox One,2025-09-18,67.0,7.1,3DClouds,3DClouds,Auto Racing
Formula Legends,PlayStation 5,2025-09-18,72.0,6.9,3DClouds,3DClouds,Auto Racing
Rooftops & Alleys: The Parkour Game,PC,2025-06-17,67.0,6.4,ML MEDIA,ShineResearch|Microids,3D Platformer
Mobile Suit Gundam Seed Battle Destiny Remastered,Nintendo Switch,2025-05-22,67.0,6.8,Bandai Namco Games,Bandai Namco Games,Vehicle Combat Sim
AI LIMIT,PlayStation 5,2025-03-27,67.0,7.5,Sense Games,CE-Asia Hong Kong Limited,Action RPG
AI LIMIT,PC,2025-03-27,75.0,6.8,Sense Games,CE-Asia Hong Kong Limited,Action RPG
Star Overdrive,Nintendo Switch,2025-04-10,66.0,8.2,Caracal Games,Plug In Digital|3goo,Open-World Action
Agatha Christie - Death on the Nile,PlayStation 5,2025-09-25,74.0,5.3,Microids Studio Lyon,Microids,Third-Person Adventure
Agatha Christie - Death on the Nile,PC,2025-09-25,66.0,5.6,Microids Studio Lyon,Microids,Third-Person Adventure
Once Upon A Puppet,PlayStation 5,2025-04-23,66.0,6.8,Flatter Than Earth,Daedalic Entertainment,Linear Action Adventure
The Precinct,PC,2025-05-13,66.0,6.1,Fallen Tree Games,Kwalee Ltd|Microids,Open-World Action
The Precinct,PlayStation 5,2025-05-13,66.0,6.9,Fallen Tree Games,Kwalee Ltd|Microids,Open-World Action
Front Mission 3 Remake,Nintendo Switch,2025-06-26,66.0,6.0,MegaPixel Studio,Forever Entertainment,Turn-Based Tactics
VED,PC,2024-11-14,66.0,2.5,Karaclan,Fulqrum Publishing,RPG
Forever Skies,PC,2025-04-14,66.0,7.3,Far from Home,Far from Home,Survival
Echoes of the End,PC,2025-08-12,66.0,6.7,Myrkur Games,Deep Silver,Action Adventure
Echoes of the End,Xbox Series X,2025-08-12,67.0,2.5,Myrkur Games,Deep Silver,Action Adventure
Echoes of the End,PlayStation 5,2025-08-12,66.0,7.3,Myrkur Games,Deep Silver,Action Adventure
Donkey Kong Bananza: DK Island & Emerald Rush,Nintendo Switch 2,2025-09-12,66.0,4.4,Nintendo,Nintendo,3D Platformer
Empyreal,PC,2025-05-08,65.0,8.3,Silent Games,Secret Mode,Action RPG
Moroi,PC,2025-04-30,65.0,5.8,Violet Saint,Good Shepherd Entertainment,Action Adventure
SYNDUALITY: Echo of Ada,PC,2025-01-23,60.0,6.8,Game Studio Inc.,Bandai Namco Games,Third Person Shooter
SYNDUALITY: Echo of Ada,PlayStation 5,2025-01-23,65.0,4.0,Game Studio Inc.,Bandai Namco Games,Third Person Shooter
Steel Seed,PlayStation 5,2025-04-22,71.0,8.2,Storm in a Teacup,ESDigital Games,Action Adventure
Steel Seed,PC,2025-04-22,65.0,7.2,Storm in a Teacup,ESDigital Games,Action Adventure
MACROSS -Shooting Insight-,PC,2025-02-07,64.0,5.7,Kaminari Games,Red Art Games|BushiRoad|Game Source Entertainment,Horizontal Shoot-'Em-Up
Finding Frankie,PlayStation 5,2025-04-15,64.0,7.0,SUPERLOU,Perp Games,Action Adventure
VARLET,PC,2025-08-27,64.0,8.4,Aquria,FuRyu,JRPG
FBC: Firebreak,PC,2025-06-17,64.0,5.2,Remedy Entertainment,Remedy Entertainment,FPS
FBC: Firebreak,PlayStation 5,2025-06-17,65.0,5.2,Remedy Entertainment,Remedy Entertainment,FPS
FBC: Firebreak,Xbox Series X,2025-06-17,66.0,5.8,Remedy Entertainment,Remedy Entertainment,FPS
Post Trauma,PC,2025-04-22,64.0,6.0,Red Soul Games,Raw Fury,Survival
Destiny 2: The Edge of Fate,PlayStation 5,2025-07-15,63.0,3.7,Bungie,Bungie,FPS
Destiny 2: The Edge of Fate,PC,2025-07-15,60.0,4.4,Bungie,Bungie,FPS
EDENS ZERO,PlayStation 5,2025-07-15,63.0,6.9,Konami,Konami,Action RPG
Mythwrecked: Ambrosia Island,PC,2024-12-05,63.0,5.5,Polygon Treehouse,Whitethorn Digital,Third-Person Adventure
Once Alive,PC,2024-11-18,63.0,6.9,Cem Boray,GameDev.ist,First-Person Adventure
Yasha: Legends of the Demon Blade,PC,2025-05-15,62.0,3.3,7QUARK,7QUARK,Action RPG
Survival Kids,Nintendo Switch 2,2025-06-05,62.0,6.2,Unity 3D,Konami,Survival
Lost Soul Aside,PlayStation 5,2025-08-29,62.0,5.9,UltiZeroGames,PlayStation Studios|Sony Interactive Entertainment,Action RPG
Lost Soul Aside,PC,2025-08-29,55.0,5.2,UltiZeroGames,PlayStation Studios|Sony Interactive Entertainment,Action RPG
Pokemon Friends,Nintendo Switch,2025-07-22,62.0,2.5,Wonderfy,Nintendo|The Pokemon Company,Action Puzzle
Kaiserpunk,PC,2025-03-21,62.0,3.5,Overseer Games,Overseer Games,Management
Still Wakes the Deep: Siren's Rest,PC,2025-06-18,61.0,6.8,The Chinese Room,Secret Mode,Survival
Still Wakes the Deep: Siren's Rest,Xbox Series X,2025-06-18,74.0,5.7,The Chinese Room,Secret Mode,Survival
Big Helmet Heroes,PlayStation 5,2025-02-06,61.0,6.2,Exalted Studio,Dear Villagers,3D Beat-'Em-Up
Drag x Drive,Nintendo Switch 2,2025-08-14,60.0,4.7,Nintendo,Nintendo,Basketball
Flint: Treasure of Oblivion,PC,2024-12-17,60.0,5.6,Savage Level,Microids,Turn-Based Tactics
The Spirit of the Samurai,PC,2024-12-12,59.0,6.5,Digital Mind Games,Kwalee Ltd,Metroidvania
Tales of the Shire: A The Lord of the Rings Game,PlayStation 5,2025-07-29,61.0,5.3,Weta Workshop,Private Division,Virtual Life
Tales of the Shire: A The Lord of the Rings Game,PC,2025-07-29,58.0,3.6,Weta Workshop,Private Division,Virtual Life
Tales of the Shire: A The Lord of the Rings Game,Nintendo Switch,2025-07-29,59.0,5.2,Weta Workshop,Private Division,Virtual Life
Game of Thrones: Kingsroad,PC,2025-05-21,57.0,5.8,Netmarble,Netmarble,Action RPG
Skydance's BEHEMOTH,PlayStation 5,2024-12-05,56.0,7.7,Skydance Interactive,Skydance Interactive|Maximum Entertainment,Action Adventure
Skydance's BEHEMOTH,Meta Quest,2024-12-05,76.0,8.9,Skydance Interactive,Skydance Interactive|Maximum Entertainment,Action Adventure
HOTEL BARCELONA,PC,2025-09-26,56.0,8.4,White Owls,Cult Games,Action Adventure
Star Wars Episode I: Jedi Power Battles Remaster,PlayStation 5,2025-01-23,55.0,4.3,Aspyr,Aspyr|Limited Run Games,3D Beat-'Em-Up
Nintendo Switch 2 Welcome Tour,Nintendo Switch 2,2025-06-05,54.0,3.7,Nintendo,Nintendo,Party
Bubsy in: The Purrfect Collection,PlayStation 5,2025-09-09,53.0,8.5,Limited Run Games,Atari|Limited Run Games,Compilation
Hunter x Hunter: Nen x Impact,PlayStation 5,2025-07-17,53.0,3.2,Eighting,Arc System Works|BushiRoad,2D Fighting
Neptunia Riders VS Dogoos,PlayStation 5,2025-01-28,51.0,5.3,Compile Heart,Idea Factory International|Idea Factory|Compile Heart|Reef Entertainment,Auto Racing
Captain Blood,PC,2025-05-06,50.0,6.4,SeaWolf,SNEG|1C Entertainment,Action Adventure
Captain Blood,PlayStation 5,2025-05-06,49.0,5.8,SeaWolf,SNEG|1C Entertainment,Action Adventure
Scar-Lead Salvation,PlayStation 5,2025-05-29,44.0,2.4,Idea Factory,Idea Factory International|Compile Heart|Idea Factory|Reef Entertainment,Third Person Shooter
Ambulance Life: A Paramedic Simulator,PlayStation 5,2025-02-06,44.0,6.1,Aesir Interactive,Nacon,Virtual Career
Tamagotchi Plaza,Nintendo Switch 2,2025-06-27,43.0,6.0,Bandai Namco Games,Bandai Namco Games,Virtual Life
MindsEye,PC,2025-06-10,37.0,2.4,Build a Rocket Boy,IOI Partners,Linear Action Adventure
MindsEye,PlayStation 5,2025-06-10,28.0,2.8,Build a Rocket Boy,IOI Partners,Linear Action Adventure
MindsEye,Xbox Series X,2025-06-10,33.0,2.5,Build a Rocket Boy,IOI Partners,Linear Action Adventure
