game_name,release_date,price,estimated_downloads,primary_tag
Only Up: LIZARDS MUST FALL,2025-01-03,2.99,24200,Adventure
Puck,2025-01-04,0.0,383200,Sports
Arken Age,2025-01-16,18.99,10100,Adventure
Survivalist: Invisible Strain,2025-04-25,6.59,357500,Open World
An Amazing Wizard,2025-05-22,6.59,2000,Early Access
Seeds of Calamity,2025-05-28,7.99,1100,Early Access
Mandragora: Whispers of the Witch Tree,2025-04-17,24.0,66900,Action
Aloft,2025-01-15,12.49,195900,Early Access
JUMP KING QUEST,2025-02-12,12.49,24800,Early Access
Hotel Owner Simulator,2025-05-08,3.49,8100,Simulation
The Executive - Movie Industry Tycoon,2025-02-11,7.99,43400,Management
Look Outside,2025-03-21,5.99,102700,RPG
LONESTAR,2025-04-03,7.29,131800,Roguelike
Welcome to Maison Chichigami,2025-02-08,6.0,24200,Sexual Content
King Arthur: Legends Rise,2025-01-22,0.0,175500,Strategy
Only Way is Down,2025-04-01,5.79,12900,Adventure
Decision Legacy Collection,2025-01-30,5.79,4300,Action
Lumberjacked,2025-04-19,2.99,36000,Adventure
Asgard's Fall — Viking Survivors,2025-04-09,3.99,55300,Early Access
Hardware Store Simulator,2025-04-18,4.49,5200,Early Access
The NOexistenceN of you AND me,2024-12-16,1.49,232000,Visual Novel
The Ranch of Rivershine,2025-05-23,29.99,55900,Simulation
Metro Mini Market Simulator,2025-05-28,2.49,420,Simulation
Hello Kitty Island Adventure,2025-01-30,18.99,203300,Open World
Labyrinth Of The Demon King,2025-05-13,10.49,46200,Survival
La Quimera,2025-05-07,17.99,4300,Early Access
Keep Driving,2025-02-06,9.29,161200,Pixel Graphics
Neighbors: Suburban Warfare,2025-04-17,5.79,103100,Early Access
Kathy Rain 2: Soothsayer,2025-05-20,10.49,12000,2D
Hotel Architect,2025-05-20,10.49,12500,Simulation
Jotunnslayer: Hordes of Hel,2025-01-21,5.99,226000,Early Access
Rogue: Genesia,2025-03-07,7.99,492600,Action
Nice Day for Fishing,2025-05-29,15.99,27200,Adventure
Rocksmith® 2014 Edition REMASTERED LEARN & PLAY,2024-12-19,7.99,1230000,Simulation
The Brothers Hotel,2025-05-09,3.99,570,Horror
出马,2025-05-28,4.99,930,Simulation
Wild Assault,2025-04-11,7.99,98000,Early Access
House of Legacy,2025-05-15,8.49,49400,Early Access
Rocket Rats,2024-12-17,3.59,47100,Action
Renaissance Kingdom Wars,2024-11-26,9.49,11000,Strategy
Lost But Found,2024-11-25,3.99,161100,Simulation
Wreckfest 2,2025-03-20,14.99,196000,Driving
Dragonkin: The Banished,2025-03-06,14.99,19000,Early Access
Cataclismo,2025-03-20,14.99,261100,Strategy
Cafemart Simulator,2025-02-25,2.99,34400,Early Access
Desktop Survivors 98,2025-05-20,2.99,40600,Action
PaperKlay,2025-05-27,7.99,1800,Adventure
Nine-Ball Roulette,2025-01-14,2.49,118300,Horror
Duck Detective: The Ghost of Glamping,2025-05-22,5.79,27300,Adventure
OVERDOSE,2025-04-04,2.49,8100,Simulation
Die in the Dungeon,2025-02-21,12.99,106300,Early Access
FACEMINER,2025-02-27,4.49,33300,Simulation
Deadside,2024-12-05,12.49,1670000,FPS
Once Upon A Puppet,2025-04-23,13.99,1400,Platformer
Sandwich Simulator,2025-05-27,7.79,1300,Early Access
Sin and Love,2025-05-24,7.99,5100,Action
Towers of Aghasba,2024-11-19,14.99,132000,Early Access
The Sims™ Legacy Collection,2025-01-31,19.99,122900,Sandbox
Lost Lullabies: The Orphanage Chronicles,2025-03-07,6.29,14700,Early Access
Chains of Freedom,2025-04-15,12.49,9100,Strategy
Voxel Project VR,2025-02-14,12.49,4500,Sandbox
Door Kickers 2: Task Force North,2025-02-10,12.49,614800,Action
STORROR Parkour Pro,2025-03-31,12.49,29800,Early Access
Trench Tales,2025-05-06,12.49,10100,Early Access
Kiosk,2025-01-29,2.49,58200,Horror
